dataset,group,model,cluster,n,covered,width
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,35012,23884,347871.54336168384
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,33121,22624,324099.22524772526
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,37283,25960,367050.8832252752
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,37216,25901,373846.35508968536
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,34905,24660,358981.36759262934
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,28004,19952,294623.9402905632
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,21150,15302,220151.77596744534
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,38916,27815,406034.0354236938
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,31892,22534,321057.17642550974
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,21340,14966,211518.6930512362
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,26090,18241,256674.68594952516
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,33228,22993,325119.5918574714
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,28123,19674,279783.5046775819
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,24012,16875,229600.26646005965
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,30345,21318,292363.320904241
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,26210,18813,266162.37359917216
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,24178,16584,244684.7988220323
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,26406,18513,282436.5360003741
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,30002,20966,314111.1550115986
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,29483,20743,314065.77543084696
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,31148,22492,319560.5174767298
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,22009,15919,217570.40699432776
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,27603,19364,267541.8664903074
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,32524,21393,321724.4440711283
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,35012,24300,356946.82265486685
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,33121,23023,332637.1214960196
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,37283,26410,376517.26035835256
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,37216,26336,383466.6748368133
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,34905,25048,368130.3779533457
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,28004,20317,302306.9623352901
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,21150,15568,225853.71421410068
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,38916,28246,416663.8050189017
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,31892,22885,329314.27781663276
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,21340,15204,216961.48176408393
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,26090,18577,263296.3608606905
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,33228,23379,333522.0661518679
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,28123,20002,286910.605691637
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,24012,17161,235515.06976805165
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,30345,21694,299963.81676083716
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,35716,23174,119325.87592292356
