dataset,group,model,cluster,n,error,sse
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,28967,5237.028941743815,109854.87026375126
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,35408,3402.023127470551,127056.29622512744
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,45074,3869.148596711989,182185.12708686685
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,38214,3256.094935203859,142937.39306096119
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,32628,865.4309899857834,113835.66530249517
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,41160,5589.4336776805,147746.37711915656
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,35716,7932.3086924237205,144136.34801646209
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,32838,10753.367260801044,186394.31499796163
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,35887,7345.8079984314945,178220.5305317351
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,40852,7690.192517209599,200217.99648341103
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,40071,9829.302431282224,189282.5527408277
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,42422,11585.689468893092,189896.04601344423
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,29932,7970.382581942776,142549.082975174
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,37489,8711.523725245333,175597.77324296144
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,44270,9415.808942622698,220029.01548659083
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,47444,14293.627699321192,218025.81874728427
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,45063,8425.938213672833,196765.34490497023
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,50574,10541.83932874153,208811.254086142
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,50508,13528.374905092613,227306.0130985408
