model,pressure,n,dry_mse,wet_mse,cross,mse,rmse,bias,bias_squared,centered_variance,dry_bias_squared,wet_bias_squared,dry_variance,wet_variance,centered_cross
hgb_components_utc,all,214251,0.45039305155358944,18.954056329981995,0.5577319175011872,19.96218129903678,4.467905694957849,0.036734186079333576,0.0013494004269111047,19.96083189860986,0.0001896144088711239,0.0005273513259545955,0.4502034371447182,18.953528978656045,0.5570994828091017
hgb_components_utc,1000,13594,1.2626818325726317,58.32228810093842,-1.1535879031908212,58.431382030320236,7.644042257230152,1.0189895488838612,1.038339700734535,57.39304232958571,0.0037654307420560886,1.1671618582823595,1.2589164018305756,57.15512624265607,-1.0210003149009408
hgb_components_utc,925,32894,0.7788380343607441,43.24010698426204,1.5781561177815424,45.59710113640432,6.752562560717547,-0.140812165536003,0.019828065962938714,45.577273070441386,0.0005034346507868251,0.014012597081045153,0.7783345997099574,43.226094387180986,1.5728440835504356
hgb_components_utc,850,40413,0.5199171911810362,28.474121957260806,1.2767695334410927,30.270808681882933,5.501891373144597,-0.20507914836404315,0.04205745709372122,30.228751224789217,0.00047245359619934885,0.03361471089385802,0.5194447375848368,28.440507246366945,1.2687992408374287
hgb_components_utc,700,42894,0.33661882235155083,13.536355160086151,0.651140273370409,14.524114255808113,3.8110515944825667,0.01800166370795397,0.0003240598962542671,14.523790195911857,0.0007855157620114392,0.00010050845268717089,0.33583330658953936,13.536254651633467,0.6517022376888535
hgb_components_utc,500,42591,0.3116541994151931,2.594442676098988,0.09140549470756837,2.997502370221749,1.7313296538272973,0.08117964963355806,0.006590135514627243,2.9909122347071224,0.0047284908144199275,0.00015414779277912678,0.30692570860077323,2.5942885283062083,0.0896979978001402
hgb_components_utc,300,41865,0.11917261038371617,0.0931384750328972,-0.0037387266637629057,0.2085723587528504,0.45669722875538715,0.06468996415864317,0.004184791462846538,0.20438756729000393,0.0009202026489726856,0.0011802744074277552,0.11825240773474348,0.09195820062546944,-0.005823041070209005
hgb_components_no_utc,all,214251,0.45490341023072284,18.874399345753453,0.5679993438518882,19.897302099836065,4.4606392030555515,0.03371770178311872,0.0011368834135353273,19.896165216422535,0.00021518227989495562,0.00036284950897050295,0.45468822795082803,18.874036496244482,0.5674404922272184
hgb_components_no_utc,1000,13594,1.2735583589599566,57.17920374383074,-1.0077219389134224,57.44504016387727,7.5792506333988765,0.9148766247688326,0.8369992385484113,56.608040925328865,0.004359113923787972,0.9621652237164509,1.2691992450361684,56.217038520114286,-0.8781968398215952
hgb_components_no_utc,925,32894,0.7776393350773918,43.11398297691526,1.5578638241550096,45.44948613614766,6.7416234050967025,-0.11985731623777364,0.014365776255721677,45.43512035989193,0.0006568471345372328,0.008878970089828042,0.7769824879428546,43.105104006825435,1.5530338651236533
hgb_components_no_utc,850,40413,0.5212741475306006,28.511452017562508,1.2877272297242144,30.32045339481732,5.506401129123932,-0.19580775843654116,0.03834067826394286,30.282112716553378,0.0003370173833221126,0.03148840498314267,0.5209371301472785,28.47996361257936,1.2812119738267362
hgb_components_no_utc,700,42894,0.3372407221575869,13.56479581534129,0.6561497501003055,14.558186287599181,3.815519137365082,0.0146592938311225,0.00021489489562718616,14.557971392703552,0.000783231459720941,0.00017760836581063856,0.336457490697866,13.564618206975476,0.65689569503021
hgb_components_no_utc,500,42591,0.3318400932356559,2.5945222887805293,0.09489383717131465,3.0212562191875,1.7381761185758766,0.08402866102202992,0.007060815873155211,3.014195403314344,0.005394052736320342,0.00011203049480403795,0.3264460404993355,2.594410258285725,0.09333910452928383
hgb_components_no_utc,300,41865,0.11718220122354517,0.09049376807078599,-0.0018727937218575564,0.20580317557247363,0.4536553488855539,0.05817087157451992,0.0033838502997392893,0.20241932527273432,0.0009595434995868706,0.0007395338915661933,0.11622265772395833,0.0897542341792198,-0.0035575666304437817
