subset,model,pressure,n,dry_mse,wet_mse,cross,mse,rmse,bias,bias_squared,centered_variance,dry_bias_squared,wet_bias_squared,dry_variance,wet_variance,centered_cross,station_delta,lower,upper,stations,interval_status
source_dewpoint_depression,reference,850,40413,0.5349389145586979,28.2399298302566,1.2715007260177624,30.046369470833053,5.481456874849337,-0.1648688310037922,0.027181731436557,30.019187739396497,0.000685545168053,0.0192337826084004,0.5342533693906449,28.2206960476482,1.2642383223576588,-0.0837927859931862,-0.1657283572393137,-0.0032669281050687,89,reported
source_dewpoint_depression,reference,700,42894,0.3471121066161731,13.503985556768724,0.6542495040332291,14.505347167418126,3.8085886056934695,0.0403009538827329,0.0016241668838581,14.503723000534269,0.0008057409573966,0.0001419762164269,0.3463063656587764,13.5038435805523,0.6535730543231947,-0.02188014362039,-0.045306705670996,0.0008642845832514,94,reported
source_dewpoint_depression,reference,500,42591,0.3536346692155782,2.5934386934163483,0.0888101078813328,3.0358834705132587,1.742378681720268,0.0967987217500265,0.009369992532439,3.02651347798082,0.0065043035368335,0.0002608050350615,0.3471303656787446,2.5931778883812866,0.0862052239207889,0.0535526518577558,0.0086400066270805,0.111507496144283,94,reported
source_dewpoint_depression,reference,300,41865,0.1285454815460144,0.0966080013076163,-0.0052023499590063,0.2199511328946244,0.4689894805799214,0.049268126293171,0.0024273482684398,0.2175237846261845,0.0012011389006318,0.0002134718363948,0.1273443426453825,0.0963945294712215,-0.0062150874904194,0.0318394055973815,0.0129771181724415,0.0534362985197027,94,reported
source_dewpoint_depression,hgb_components_utc,all,214251,0.4503930515535894,18.954056329981995,0.5577319175011872,19.96218129903678,4.467905694957849,0.0367341860793335,0.0013494004269111,19.96083189860986,0.0001896144088711,0.0005273513259545,0.4502034371447182,18.953528978656045,0.5570994828091017,-0.0128596759270503,-0.0818658294644561,0.0720475256071149,94,reported
source_dewpoint_depression,hgb_components_utc,1000,13594,1.2626818325726317,58.32228810093842,-1.1535879031908212,58.43138203032024,7.644042257230152,1.0189895488838612,1.038339700734535,57.39304232958571,0.003765430742056,1.1671618582823595,1.2589164018305756,57.15512624265607,-1.0210003149009408,-0.031686861374709,-0.3490601574148364,0.3243000929567814,53,reported
source_dewpoint_depression,hgb_components_utc,925,32894,0.7788380343607441,43.24010698426204,1.5781561177815424,45.59710113640432,6.752562560717547,-0.140812165536003,0.0198280659629387,45.577273070441386,0.0005034346507868,0.0140125970810451,0.7783345997099574,43.226094387180986,1.5728440835504356,0.0450002441515666,-0.0775868701970115,0.1933894068612807,78,reported
source_dewpoint_depression,hgb_components_utc,850,40413,0.5199171911810362,28.47412195726081,1.276769533441093,30.270808681882933,5.501891373144597,-0.2050791483640431,0.0420574570937212,30.228751224789217,0.0004724535961993,0.033614710893858,0.5194447375848368,28.440507246366945,1.268799240837429,-0.0650408368332819,-0.1665834191996868,0.0500205492581516,89,reported
source_dewpoint_depression,hgb_components_utc,700,42894,0.3366188223515508,13.536355160086153,0.651140273370409,14.524114255808112,3.811051594482567,0.0180016637079539,0.0003240598962542,14.523790195911856,0.0007855157620114,0.0001005084526871,0.3358333065895393,13.536254651633469,0.6517022376888535,-0.0176312792265043,-0.036471698859647,0.0011672586912857,94,reported
source_dewpoint_depression,hgb_components_utc,500,42591,0.3116541994151931,2.594442676098988,0.0914054947075683,2.997502370221749,1.7313296538272973,0.081179649633558,0.0065901355146272,2.9909122347071224,0.0047284908144199,0.0001541477927791,0.3069257086007732,2.5942885283062083,0.0896979978001402,0.0401135384257378,0.0048910525403847,0.0908986510201934,94,reported
source_dewpoint_depression,hgb_components_utc,300,41865,0.1191726103837161,0.0931384750328972,-0.0037387266637629,0.2085723587528504,0.4566972287553871,0.0646899641586431,0.0041847914628465,0.2043875672900039,0.0009202026489726,0.0011802744074277,0.1182524077347434,0.0919582006254694,-0.005823041070209,0.0199656773135189,0.0065826847292598,0.0356686008160576,94,reported
source_dewpoint_depression,hgb_components_no_utc,all,214251,0.4549034102307228,18.874399345753453,0.5679993438518882,19.897302099836065,4.460639203055552,0.0337177017831187,0.0011368834135353,19.89616521642253,0.0002151822798949,0.0003628495089705,0.454688227950828,18.87403649624448,0.5674404922272184,-0.0148734305610296,-0.0826676484031763,0.0678526433557572,94,reported
source_dewpoint_depression,hgb_components_no_utc,1000,13594,1.2735583589599566,57.17920374383074,-1.0077219389134224,57.44504016387727,7.5792506333988765,0.9148766247688326,0.8369992385484113,56.60804092532887,0.0043591139237879,0.9621652237164507,1.2691992450361684,56.217038520114286,-0.8781968398215952,-0.0393671073732037,-0.333934220711384,0.2957238845191962,53,reported
source_dewpoint_depression,hgb_components_no_utc,925,32894,0.7776393350773918,43.11398297691526,1.5578638241550096,45.44948613614766,6.741623405096703,-0.1198573162377736,0.0143657762557216,45.43512035989193,0.0006568471345372,0.008878970089828,0.7769824879428546,43.10510400682544,1.5530338651236533,0.0424136895905737,-0.0775672504370705,0.1874854359017352,78,reported
source_dewpoint_depression,hgb_components_no_utc,850,40413,0.5212741475306006,28.511452017562508,1.2877272297242144,30.32045339481732,5.506401129123932,-0.1958077584365411,0.0383406782639428,30.282112716553375,0.0003370173833221,0.0314884049831426,0.5209371301472785,28.47996361257936,1.2812119738267362,-0.0599963549322014,-0.167480508309607,0.0603417047824979,89,reported
source_dewpoint_depression,hgb_components_no_utc,700,42894,0.3372407221575869,13.56479581534129,0.6561497501003055,14.55818628759918,3.815519137365082,0.0146592938311225,0.0002148948956271,14.557971392703552,0.0007832314597209,0.0001776083658106,0.336457490697866,13.564618206975476,0.65689569503021,-0.0143888103923644,-0.0346178379551216,0.0062155670957779,94,reported
source_dewpoint_depression,hgb_components_no_utc,500,42591,0.3318400932356559,2.5945222887805293,0.0948938371713146,3.0212562191875,1.7381761185758766,0.0840286610220299,0.0070608158731552,3.014195403314344,0.0053940527363203,0.000112030494804,0.3264460404993355,2.594410258285725,0.0933391045292838,0.0418867460141243,0.0030743074167925,0.097210112837999,94,reported
source_dewpoint_depression,hgb_components_no_utc,300,41865,0.1171822012235451,0.0904937680707859,-0.0018727937218575,0.2058031755724736,0.4536553488855539,0.0581708715745199,0.0033838502997392,0.2024193252727343,0.0009595434995868,0.0007395338915661,0.1162226577239583,0.0897542341792198,-0.0035575666304437,0.0155753099656017,0.0043662149638817,0.0295802337211266,94,reported
